icd9in,icd9un,icd10in,icd10un
,E837.8,,V44.1
,E837.9,,V44.2
,E838,,V44.3
,E838.0,,V44.4
,E838.1,,V44.5
,E838.2,,V44.6
,E838.3,,V44.7
,E838.4,,V44.9
,E838.5,,V45 
,E838.6,,V45.0
,E838.8,,V45.1
,E838.9,,V45.2
,E840,,V45.3
,E840.0,,V45.4
,E840.1,,V45.5
,E840.2,,V45.6
,E840.3,,V45.7
,E840.4,,V45.9
,E840.5,,V46 
,E840.6,,V46.0
,E840.7,,V46.1
,E840.8,,V46.2
,E840.9,,V46.3
,E841,,V46.4
,E841.0,,V46.5
,E841.1,,V46.6
,E841.2,,V46.7
,E841.3,,V46.9
,E841.4,,V47 
,E841.5,,V47.0
,E841.6,,V47.1
,E841.7,,V47.2
,E841.8,,V47.3
,E841.9,,V47.4
,E842,,V47.5
,E842.6,,V47.6
,E842.7,,V47.7
,E842.8,,V47.9
,E842.9,,V48 
,E843,,V48.0
,E843.0,,V48.1
,E843.1,,V48.2
,E843.2,,V48.3
,E843.3,,V48.4
,E843.4,,V48.5
,E843.5,,V48.6
,E843.6,,V48.7
,E843.7,,V48.9
,E843.8,,V49 
,E843.9,,V49.0 
,E844,,V49.1 
,E844.0,,V49.2 
,E844.1,,V49.3 
,E844.2,,V49.4 
,E844.3,,V49.5 
,E844.4,,V49.6 
,E844.5,,V49.8 
,E844.6,,V49.9 
,E844.7,,V50 
,E844.8,,V50.0
,E844.9,,V50.1
,E845,,V50.2
,E845.0,,V50.3
,E845.8,,V50.4
,E845.9,,V50.5
,E846,,V50.6
,E847,,V50.7
,E848,,V50.9
,E850.3,,V51 
,E850.30,,V51.0
,E850.31,,V51.1
,E850.32,,V51.2
,E850.33,,V51.3
,E850.34,,V51.4
,E850.35,,V51.5
,E850.36,,V51.6
,E850.37,,V51.7
,E850.38,,V51.9
,E850.39,,V52 
,E850.4,,V52.0
,E850.40,,V52.1
,E850.41,,V52.2
,E850.42,,V52.3
,E850.43,,V52.4
,E850.44,,V52.5
,E850.45,,V52.6
,E850.46,,V52.7
,E850.47,,V52.9
,E850.48,,V53 
,E850.49,,V53.0
,E850.5,,V53.1
,E850.50,,V53.2
,E850.51,,V53.3
,E850.52,,V53.4
,E850.53,,V53.5
,E850.54,,V53.6
,E850.55,,V53.7
,E850.56,,V53.9
,E850.57,,V54 
,E850.58,,V54.0
,E850.59,,V54.1
,E850.6,,V54.2
,E850.60,,V54.3
,E850.61,,V54.4
,E850.62,,V54.5
,E850.63,,V54.6
,E850.64,,V54.7
,E850.65,,V54.9
,E850.66,,V55 
,E850.67,,V55.0
,E850.68,,V55.1
,E850.69,,V55.2
,E850.7,,V55.3
,E850.70,,V55.4
,E850.71,,V55.5
,E850.72,,V55.6
,E850.73,,V55.7
,E850.74,,V55.9
,E850.75,,V56 
,E850.76,,V56.0
,E850.77,,V56.1
,E850.78,,V56.2
,E850.79,,V56.3
,E850.8,,V56.4
,E850.80,,V56.5
,E850.81,,V56.6
