"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,45,2011,"11",19466,19623,157,0.806534470358574
1,45,2011,"12",681074,683046,1972,0.289542692864505
1,45,2011,"13",349759,350945,1186,0.33909063097733
1,45,2011,"15",46827,46752,75,0.160164007944135
1,45,2011,"16",49953,49941,12,0.0240225812263528
1,45,2011,"17",450582,451193,611,0.135602398675491
1,45,2011,"18",227451,227584,133,0.058474132890161
1,45,2011,"19",103638,103525,113,0.109033366139833
1,45,2011,"20",96201,95724,477,0.495836841612873
1,45,2011,"21",155880,156089,209,0.134077495509366
1,45,2011,"22",153930,154255,325,0.211134931462353
1,45,2011,"23",50836,50837,1,0.00196710992210245
1,45,2011,"24",217289,217887,598,0.275209513597099
1,45,2011,"25",247098,247772,674,0.272766270872285
1,45,2011,"26",355436,355559,123,0.034605386061063
1,45,2011,"27",195510,195159,351,0.179530458800061
1,45,2011,"28",97967,98074,107,0.109220451784785
1,45,2011,"29",210763,210116,647,0.306979877872302
1,45,2011,"30",33362,33182,180,0.539535999040825
1,45,2011,"31",61741,61525,216,0.349848560923859
1,45,2011,"32",98095,98392,297,0.302767725164381
1,45,2011,"33",53686,53658,28,0.0521551242409567
1,45,2011,"34",337612,338078,466,0.138028269137353
1,45,2011,"35",68356,67786,570,0.833869740768916
1,45,2011,"36",696671,699065,2394,0.343634226198593
1,45,2011,"37",337245,337973,728,0.21586680306602
1,45,2011,"38",22314,22151,163,0.73048310477727
1,45,2011,"39",405139,405271,132,0.0325814103307754
1,45,2011,"40",124722,124460,262,0.210067189429291
1,45,2011,"41",126835,127141,306,0.24125832774865
1,45,2011,"42",456076,456601,525,0.115112393548444
1,45,2011,"44",38234,38333,99,0.258931840769995
1,45,2011,"45",158632,158609,23,0.0144989661606738
1,45,2011,"46",27831,27623,208,0.747368042829938
1,45,2011,"47",223984,224276,292,0.130366454746768
1,45,2011,"48",867114,866450,664,0.0765758596908826
1,45,2011,"49",76139,76225,86,0.112951312730664
1,45,2011,"50",23256,23184,72,0.309597523219814
1,45,2011,"51",298545,298887,342,0.114555594633975
1,45,2011,"53",239591,239135,456,0.190324344403588
1,45,2011,"54",63967,64147,180,0.281395094345522
1,45,2011,"55",211062,210900,162,0.0767546976717742
1,45,2011,"56",18725,18578,147,0.785046728971963
1,50,2011,"01",168915,169107,192,0.11366663706598
1,50,2011,"02",28846,29305,459,1.59120848644526
1,50,2011,"04",206860,207175,315,0.152276902252731
1,50,2011,"05",100222,100264,42,0.0419069665342939
1,50,2011,"06",1288509,1290075,1566,0.121535821635705
1,50,2011,"08",185851,185434,417,0.224373288279321
1,50,2011,"09",140734,140762,28,0.0198956897409297
1,50,2011,"10",32092,32120,28,0.0872491586688271
1,50,2011,"11",18488,18638,150,0.81133708351363
1,50,2011,"12",666798,670398,3600,0.539893640952732
1,50,2011,"13",330481,331725,1244,0.376421034794739
1,50,2011,"15",48085,48051,34,0.070708121035666
1,50,2011,"16",52466,52439,27,0.0514618991346777
1,50,2011,"17",460434,460827,393,0.0853542527267752
1,50,2011,"18",235673,235661,12,0.0050918009275564
1,50,2011,"19",112152,111930,222,0.197945645195806
1,50,2011,"20",101434,101154,280,0.276041563972632
1,50,2011,"21",158144,157969,175,0.110658640226629
1,50,2011,"22",161731,161689,42,0.025969047368779
1,50,2011,"23",54520,54574,54,0.099046221570066
1,50,2011,"24",214999,215709,710,0.330234094112066
1,50,2011,"25",245468,245993,525,0.213877165251682
1,50,2011,"26",374966,374807,159,0.0424038446152451
1,50,2011,"27",204205,204298,93,0.0455424695771406
1,50,2011,"28",101021,101061,40,0.0395957276209897
1,50,2011,"29",220783,220788,5,0.00226466711658053
1,50,2011,"30",38311,38096,215,0.561196523191773
1,50,2011,"31",65447,65332,115,0.175714700444635
1,50,2011,"32",93298,93660,362,0.388004030097108
1,50,2011,"33",56640,56603,37,0.0653248587570621
1,50,2011,"34",333138,334007,869,0.260852859775829
1,50,2011,"35",71939,71760,179,0.248821918569899
1,50,2011,"36",694834,696544,1710,0.246101946652006
1,50,2011,"37",329264,330022,758,0.230210408669032
1,50,2011,"38",25419,25298,121,0.476021873401786
1,50,2011,"39",434852,433970,882,0.202827628710458
