"stateFips","sex","age","year","pop.new"
"38",2,60,2015,21455
"38",2,55,2015,24682
"45",2,20,2015,168166
"38",2,45,2015,19517
"38",2,40,2015,18852
"38",2,35,2015,21063
"38",2,30,2015,24958
"38",2,25,2015,26209
"48",2,10,2015,989105
"38",2,15,2015,23745
"38",2,0,2015,26066
"38",1,85,2015,6202
"38",1,65,2015,16825
"38",1,60,2015,22544
"38",1,50,2015,24542
"38",1,40,2015,20832
"38",1,35,2015,24122
"38",1,30,2015,28809
"38",1,20,2015,39036
"38",1,15,2015,25699
"38",1,10,2015,22908
"37",2,85,2015,117789
"37",2,80,2015,106609
"37",2,75,2015,145462
"37",2,65,2015,281372
"51",1,5,2015,264707
"37",2,60,2015,319067
"37",2,55,2015,349890
"55",2,45,2015,185378
"38",1,55,2015,25503
"37",2,50,2015,360092
"44",2,20,2015,39646
"37",2,45,2015,343749
"37",2,40,2015,339713
"37",2,30,2015,325824
"37",2,25,2015,337864
"51",2,10,2015,256061
"37",2,15,2015,324276
"37",2,5,2015,314655
"37",2,0,2015,295831
"37",1,85,2015,57255
"37",1,65,2015,245501
"40",2,50,2015,129591
"37",1,55,2015,321024
"37",1,50,2015,338660
"37",1,40,2015,323697
"37",1,35,2015,308656
"37",1,30,2015,313212
"37",1,20,2015,378934
"37",1,15,2015,336625
"37",1,10,2015,331553
"36",2,85,2015,289069
"36",2,80,2015,221607
"36",2,75,2015,287215
"36",2,70,2015,381515
"36",2,65,2015,522699
"46",1,5,2015,30942
"36",2,60,2015,616359
"36",2,55,2015,711059
"42",2,20,2015,419548
"36",2,45,2015,682788
"36",2,40,2015,629225
"36",2,35,2015,641376
"36",2,30,2015,696305
"36",2,25,2015,747851
"46",2,10,2015,27490
"36",2,15,2015,613322
"36",2,0,2015,578693
"36",1,85,2015,144402
"36",1,65,2015,449873
"36",1,60,2015,555746
"36",1,50,2015,689906
"36",1,40,2015,603374
"36",1,35,2015,621764
"36",1,30,2015,685951
"36",1,20,2015,712749
"36",1,15,2015,636526
"36",1,10,2015,592633
"35",2,85,2015,24138
"35",2,80,2015,21957
"35",2,75,2015,31002
"35",2,65,2015,59535
"49",1,5,2015,135559
"35",2,60,2015,68697
"35",2,55,2015,73361
"53",2,45,2015,228084
"36",1,55,2015,660836
"35",2,50,2015,70625
"41",2,20,2015,131401
"35",2,45,2015,60722
"35",2,40,2015,59637
"35",2,35,2015,61687
"35",2,30,2015,67194
"35",2,25,2015,68286
"49",2,10,2015,123566
"35",2,15,2015,67104
"35",2,0,2015,66359
"35",1,85,2015,14564
"35",1,65,2015,54655
"35",1,60,2015,61854
"56",2,45,2015,15830
"38",2,50,2015,23390
"35",1,55,2015,67569
"35",1,50,2015,67167
"35",1,40,2015,58637
"35",1,35,2015,63571
"35",1,30,2015,70684
"35",1,20,2015,78590
"35",1,15,2015,70911
"35",1,10,2015,70415
"34",2,85,2015,131571
"34",2,80,2015,101232
"34",2,75,2015,128458
"34",2,70,2015,173478
"34",2,65,2015,235280
"44",1,5,2015,28992
"34",2,60,2015,279188
"34",2,55,2015,334265
"40",2,20,2015,138264
"34",2,45,2015,327759
"34",2,40,2015,298726
"44",2,10,2015,29415
"34",2,15,2015,278433
"34",2,0,2015,259513
"34",1,85,2015,65439
"34",1,70,2015,141121
"34",1,65,2015,203558
"34",1,60,2015,253784
"34",1,50,2015,333272
"34",1,40,2015,290593
"34",1,35,2015,284510
"50",2,70,2015,13959
"34",1,30,2015,291063
"34",1,25,2015,293256
"34",1,20,2015,293669
"34",1,15,2015,294882
"34",1,10,2015,289610
"33",2,85,2015,19111
"33",2,80,2015,14737
"33",2,75,2015,18713
"33",2,70,2015,27138
"33",2,65,2015,39672
"47",1,5,2015,212966
"33",2,60,2015,47018
"33",2,55,2015,55358
"34",1,55,2015,312553
"33",2,50,2015,55887
"39",2,20,2015,385410
"33",2,45,2015,48033
"33",2,40,2015,41230
"33",2,30,2015,37864
"33",2,25,2015,38205
"47",2,10,2015,206265
"33",2,15,2015,43082
"33",2,0,2015,31611
"33",1,85,2015,9833
"33",1,65,2015,37644
"33",1,60,2015,45637
"54",2,45,2015,58883
"36",2,50,2015,733574
"33",1,55,2015,53834
"33",1,50,2015,54303
"33",1,45,2015,47366
"33",1,40,2015,40436
"33",1,35,2015,36478
"33",1,30,2015,38837
"33",1,20,2015,46147
"33",1,15,2015,45065
"33",1,10,2015,39642
"32",2,85,2015,24170
"32",2,75,2015,38043
"32",2,70,2015,57128
"32",2,65,2015,78911
"41",1,5,2015,124207
"32",2,60,2015,87107
"32",2,55,2015,93430
"38",2,20,2015,33257
"32",2,45,2015,94348
"32",2,40,2015,94919
"41",2,10,2015,117833
"32",2,15,2015,85894
"19",2,15,2015,104311
"32",2,10,2015,92185
"01",2,50,2015,175611
"32",1,80,2015,20911
"09",2,55,2015,139487
"32",1,75,2015,35317
"32",1,70,2015,53284
"50",2,35,2015,17508
"32",1,65,2015,74788
"32",1,60,2015,81356
"17",2,5,2015,401151
"32",1,40,2015,97283
"19",2,60,2015,98810
"32",1,5,2015,98182
"17",1,75,2015,134053
"31",2,80,2015,21513
"31",2,75,2015,26136
"31",2,65,2015,46138
"37",2,20,2015,340459
"31",2,45,2015,54049
"15",2,85,2015,24633
"31",2,35,2015,58041
"45",2,10,2015,149920
"31",2,15,2015,63158
"22",2,15,2015,148134
"31",2,10,2015,63771
"01",1,55,2015,161967
"31",1,80,2015,15251
"08",2,55,2015,185528
"31",1,75,2015,21106
"01",1,40,2015,148562
"31",1,70,2015,29535
"31",1,60,2015,54945
"31",1,40,2015,56064
"31",1,15,2015,65861
"22",2,60,2015,146076
"31",1,5,2015,68378
"16",1,75,2015,20115
"30",2,80,2015,11254
"18",1,65,2015,154243
"30",2,75,2015,15543
"30",2,65,2015,30398
"36",2,20,2015,708066
"30",2,45,2015,28884
"51",2,60,2015,256019
"13",2,85,2015,92354
"30",2,35,2015,29539
"39",2,10,2015,365081
"30",2,15,2015,30461
"51",2,0,2015,251468
"30",2,10,2015,30797
"30",1,80,2015,9265
"06",2,55,2015,1277268
"30",1,75,2015,14463
"48",2,35,2015,930639
"30",1,65,2015,31204
"30",1,60,2015,36762
"56",1,25,2015,21589
"15",2,5,2015,42326
"30",1,40,2015,28692
"30",1,5,2015,32945
"15",1,75,2015,16413
"29",2,80,2015,70387
"17",1,65,2015,287049
"29",2,75,2015,91638
"29",2,65,2015,165193
"35",2,20,2015,71583
"29",2,45,2015,189018
"50",2,60,2015,23661
"12",2,85,2015,333187
"29",2,35,2015,185758
"42",2,10,2015,371659
"29",2,15,2015,193146
"50",2,0,2015,14671
"20",2,15,2015,97270
"29",2,10,2015,190186
"29",2,0,2015,182370
"29",1,80,2015,49760
"05",2,55,2015,101007
"29",1,75,2015,73445
"29",1,70,2015,106351
"51",2,35,2015,274347
"29",1,65,2015,147471
"29",1,60,2015,179158
"55",1,25,2015,181979
"18",2,5,2015,214445
"29",1,40,2015,178503
"29",1,15,2015,203875
"20",2,60,2015,88220
"29",1,5,2015,198041
"13",1,75,2015,95550
"28",2,80,2015,32170
"55",2,60,2015,187272
"16",1,65,2015,41851
"28",2,75,2015,44687
"28",2,65,2015,79407
"34",2,20,2015,280365
"28",2,45,2015,94600
"49",2,60,2015,67726
"11",2,85,2015,7858
"28",2,35,2015,95197
"46",1,60,2015,27439
"22",2,45,2015,145726
"28",2,20,2015,108890
"37",2,10,2015,319016
"28",2,15,2015,101605
"49",2,0,2015,121734
"28",2,10,2015,99053
"48",1,30,2015,1004198
"28",2,0,2015,94336
"28",1,80,2015,20454
"46",2,35,2015,24667
"28",1,65,2015,70966
"51",1,55,2015,276617
"50",2,50,2015,24827
"28",1,60,2015,83550
"15",2,75,2015,20192
"28",1,50,2015,96484
"54",1,25,2015,56456
"12",2,5,2015,556250
"28",1,40,2015,88082
"12",1,75,2015,326759
"27",2,80,2015,57498
"15",1,65,2015,38004
"27",2,75,2015,74061
"27",2,65,2015,136383
"33",2,20,2015,45122
"27",2,45,2015,173368
"27",2,40,2015,160639
"48",2,60,2015,725752
"10",2,85,2015,12032
"27",2,35,2015,170938
"49",1,60,2015,64835
"21",2,45,2015,144857
"27",2,20,2015,180007
"40",2,10,2015,129112
"27",2,15,2015,174411
"45",1,5,2015,157196
"31",2,60,2015,57407
"48",2,0,2015,970458
"27",2,10,2015,175692
"51",1,30,2015,294669
"27",2,0,2015,171133
"27",1,80,2015,42555
"02",2,55,2015,24383
"27",1,75,2015,61415
"49",2,35,2015,107138
"27",1,65,2015,128494
"50",1,55,2015,24745
"27",1,60,2015,166219
"53",1,25,2015,277448
"16",2,5,2015,60105
"27",1,40,2015,164821
"27",1,35,2015,177300
"11",1,75,2015,5146
"26",2,80,2015,111373
"53",2,60,2015,228933
"13",1,65,2015,219987
"26",2,75,2015,144948
"26",2,65,2015,277417
"50",1,60,2015,22615
"32",2,20,2015,92203
"26",2,45,2015,328591
"26",2,40,2015,303336
"47",2,60,2015,213462
"09",2,85,2015,60031
"26",2,35,2015,289520
"56",2,65,2015,14861
"27",2,55,2015,196846
"08",1,25,2015,217475
"26",2,25,2015,311376
"44",1,60,2015,31794
"20",2,45,2015,83975
"26",2,20,2015,352851
"35",2,10,2015,68191
"26",2,15,2015,327635
"55",1,65,2015,145916
"39",1,5,2015,367979
"30",2,60,2015,37500
"47",2,0,2015,197491
