"","sex","age","(Intercept)","year.centre","start.value","end.value","sex.long","Estimate","Std. Error","t value","Pr(>|t|)","sig.test.10","sig.test.5","grad.uci","grad.lci","diff","diff.uci","diff.lci","start.value.2","end.value.2","cause"
"11",2,0,1.08949494197414,-0.00135127731433939,1.08949494197414,1.04490279060094,"Women",-0.00135127731433939,0.00101593803432282,-1.33007847790648,0.192895120728053,0,0,0.000639961232933328,-0.00334251586161211,-4.45921513731999,2.11187206867998,-11.03030234332,8.90000000000001,4.5,"Allcause"
"16",2,5,1.06809150029487,0.000250974454598889,1.06809150029487,1.07637365729664,"Women",0.000250974454598889,0.00203724061988665,0.123193329324473,0.902724521808948,0,0,0.00424396606957672,-0.00374201716037894,0.828215700176334,14.0050880296032,-12.3486566292505,6.8,7.59999999999999,"Allcause"
"12",2,15,1.17441205669156,-0.00538159770241194,1.17441205669156,0.996819332511968,"Women",-0.00538159770241194,0.00111436933082957,-4.82927657243198,3.26191234327028e-05,1,1,-0.00319743381398598,-0.00756576159083789,-17.7592724179594,-10.5515315861537,-24.967013249765,17.4,-0.299999999999997,"Allcause"
"13",2,25,1.01562401014971,0.000234881744972444,1.01562401014971,1.0233751077338,"Women",0.000234881744972444,0.000744452554666694,0.31550935449151,0.754423477686718,0,0,0.00169400875211916,-0.00122424526217428,0.775109758409064,5.59022888199324,-4.04000936517511,1.59999999999999,2.3,"Allcause"
"14",2,35,1.04893914960646,0.000255592846903103,1.04893914960646,1.05737371355426,"Women",0.000255592846903103,0.000696646550704076,0.366890278355336,0.716115929513694,0,0,0.00162102008628309,-0.00110983439247689,0.84345639478024,5.3493662847342,-3.66245349517373,4.90000000000001,5.7,"Allcause"
"15",2,45,1.09902003839641,-0.000253565296673827,1.09902003839641,1.09065238360617,"Women",-0.000253565296673827,0.000699559615631682,-0.36246417175592,0.719388207665022,0,0,0.00111757154996427,-0.00162470214331192,-0.83676547902363,3.68798611488209,-5.36151707292935,9.90000000000001,9.09999999999999,"Allcause"
"17",2,55,1.11914327945689,0.000705086117927277,1.11914327945689,1.14241112134849,"Women",0.000705086117927277,0.000549268294747826,1.28368253669364,0.208470944148274,0,0,0.00178165197563302,-0.000371479739778462,2.32678418916001,5.87945151958895,-1.22588314126892,11.9,14.2,"Allcause"
"18",2,65,1.16491761085672,5.58986352461805e-05,1.16491761085672,1.16676226581984,"Women",5.58986352461805e-05,0.000730266281794967,0.0765455514511552,0.939461663106495,0,0,0.00148722054756432,-0.00137542327707195,0.184465496312396,4.90782780696224,-4.53889681433745,16.5,16.7,"Allcause"
"19",2,75,1.23184670954017,-0.000462680750045141,1.23184670954017,1.21657824478868,"Women",-0.000462680750045141,0.000972547634682762,-0.475740964807409,0.63749075181436,0,0,0.00144351261393307,-0.00236887411402335,-1.52684647514896,4.76359162597914,-7.81728457627707,23.2,21.7,"Allcause"
"20",2,85,1.35633237120928,-0.0012906750994241,1.35633237120928,1.31374009292828,"Women",-0.0012906750994241,0.00202834687596667,-0.636318725715486,0.529094248263393,0,0,0.00268488477747058,-0.00526623497631877,-4.25922782809953,8.8601197656529,-17.378575421852,35.6,31.4,"Allcause"
"110",1,0,1.070780962859,0.00200653039039857,1.070780962859,1.13699646574215,"Men",0.00200653039039857,0.00560451049392688,0.35802063223414,0.722678802133738,0,0,0.0129913709584953,-0.00897831017769811,6.62155028831529,42.8715241630343,-29.6284235864038,7.09999999999999,13.7,"Cancer"
