"cause","cause.sub","icd"
"I511","Cardiovascular",10
"I512","Cardiovascular",10
"I513","Cardiovascular",10
"I514","Cardiovascular",10
"I515","Cardiovascular",10
"I516","Cardiovascular",10
"I517","Cardiovascular",10
"I518","Cardiovascular",10
"I519","Cardiovascular",10
"I600","Cardiovascular",10
"I601","Cardiovascular",10
"I602","Cardiovascular",10
"I603","Cardiovascular",10
"I604","Cardiovascular",10
"I605","Cardiovascular",10
"I606","Cardiovascular",10
"I607","Cardiovascular",10
"I608","Cardiovascular",10
"I609","Cardiovascular",10
"I610","Cardiovascular",10
"I611","Cardiovascular",10
"I612","Cardiovascular",10
"I613","Cardiovascular",10
"I614","Cardiovascular",10
"I615","Cardiovascular",10
"I616","Cardiovascular",10
"I618","Cardiovascular",10
"I619","Cardiovascular",10
"I620","Cardiovascular",10
"I621","Cardiovascular",10
"I629","Cardiovascular",10
"I630","Cardiovascular",10
"I631","Cardiovascular",10
"I632","Cardiovascular",10
"I633","Cardiovascular",10
"I634","Cardiovascular",10
"I635","Cardiovascular",10
"I636","Cardiovascular",10
"I638","Cardiovascular",10
"I639","Cardiovascular",10
"I640","Cardiovascular",10
"I670","Cardiovascular",10
"I671","Cardiovascular",10
"I672","Cardiovascular",10
"I673","Cardiovascular",10
"I674","Cardiovascular",10
"I675","Cardiovascular",10
"I676","Cardiovascular",10
"I677","Cardiovascular",10
"I678","Cardiovascular",10
"I679","Cardiovascular",10
"I690","Cardiovascular",10
"I691","Cardiovascular",10
"I692","Cardiovascular",10
"I693","Cardiovascular",10
"I694","Cardiovascular",10
"I698","Cardiovascular",10
"I700","Cardiovascular",10
"I701","Cardiovascular",10
"I702","Cardiovascular",10
"I708","Cardiovascular",10
"I709","Cardiovascular",10
"I710","Cardiovascular",10
"I711","Cardiovascular",10
"I712","Cardiovascular",10
"I713","Cardiovascular",10
"I714","Cardiovascular",10
"I715","Cardiovascular",10
"I716","Cardiovascular",10
"I718","Cardiovascular",10
"I719","Cardiovascular",10
"I720","Cardiovascular",10
"I721","Cardiovascular",10
"I722","Cardiovascular",10
"I723","Cardiovascular",10
"I724","Cardiovascular",10
"I725","Cardiovascular",10
"I728","Cardiovascular",10
"I729","Cardiovascular",10
"I730","Cardiovascular",10
"I731","Cardiovascular",10
"I738","Cardiovascular",10
"I739","Cardiovascular",10
"I740","Cardiovascular",10
"I741","Cardiovascular",10
"I742","Cardiovascular",10
"I743","Cardiovascular",10
"I744","Cardiovascular",10
"I745","Cardiovascular",10
"I748","Cardiovascular",10
"I749","Cardiovascular",10
"I770","Cardiovascular",10
"I771","Cardiovascular",10
"I772","Cardiovascular",10
"I773","Cardiovascular",10
"I774","Cardiovascular",10
"I775","Cardiovascular",10
"I776","Cardiovascular",10
"I778","Cardiovascular",10
"I779","Cardiovascular",10
"I780","Cardiovascular",10
"I781","Cardiovascular",10
"I788","Cardiovascular",10
"I789","Cardiovascular",10
"I800","Cardiovascular",10
"I801","Cardiovascular",10
"I802","Cardiovascular",10
"I803","Cardiovascular",10
"I808","Cardiovascular",10
"I809","Cardiovascular",10
"I810","Cardiovascular",10
"I820","Cardiovascular",10
"I821","Cardiovascular",10
"I822","Cardiovascular",10
"I823","Cardiovascular",10
"I828","Cardiovascular",10
"I829","Cardiovascular",10
"I830","Cardiovascular",10
"I831","Cardiovascular",10
"I832","Cardiovascular",10
"I839","Cardiovascular",10
"I840","Cardiovascular",10
"I841","Cardiovascular",10
"I842","Cardiovascular",10
"I844","Cardiovascular",10
"I845","Cardiovascular",10
"I848","Cardiovascular",10
"I849","Cardiovascular",10
"I850","Cardiovascular",10
"I859","Cardiovascular",10
"I860","Cardiovascular",10
"I861","Cardiovascular",10
"I862","Cardiovascular",10
"I864","Cardiovascular",10
"I868","Cardiovascular",10
"I870","Cardiovascular",10
"I871","Cardiovascular",10
"I872","Cardiovascular",10
"I878","Cardiovascular",10
"I879","Cardiovascular",10
"I880","Cardiovascular",10
"I881","Cardiovascular",10
"I888","Cardiovascular",10
"I889","Cardiovascular",10
"I890","Cardiovascular",10
"I891","Cardiovascular",10
"I898","Cardiovascular",10
"I899","Cardiovascular",10
"I950","Cardiovascular",10
"I951","Cardiovascular",10
"I952","Cardiovascular",10
"I958","Cardiovascular",10
"I959","Cardiovascular",10
"I990","Cardiovascular",10
"4700","Chronic respiratory diseases",9
"4710","Chronic respiratory diseases",9
"4718","Chronic respiratory diseases",9
"4719","Chronic respiratory diseases",9
"4720","Chronic respiratory diseases",9
"4721","Chronic respiratory diseases",9
"4722","Chronic respiratory diseases",9
"4730","Chronic respiratory diseases",9
"4731","Chronic respiratory diseases",9
"4732","Chronic respiratory diseases",9
"4733","Chronic respiratory diseases",9
"4738","Chronic respiratory diseases",9
"4739","Chronic respiratory diseases",9
"4740","Chronic respiratory diseases",9
"4741","Chronic respiratory diseases",9
"4748","Chronic respiratory diseases",9
"4749","Chronic respiratory diseases",9
"4750","Chronic respiratory diseases",9
"4760","Chronic respiratory diseases",9
"4761","Chronic respiratory diseases",9
"4770","Chronic respiratory diseases",9
"4778","Chronic respiratory diseases",9
"4779","Chronic respiratory diseases",9
"4780","Chronic respiratory diseases",9
"4781","Chronic respiratory diseases",9
"4782","Chronic respiratory diseases",9
"4783","Chronic respiratory diseases",9
"4784","Chronic respiratory diseases",9
"4785","Chronic respiratory diseases",9
"4786","Chronic respiratory diseases",9
"4787","Chronic respiratory diseases",9
"4788","Chronic respiratory diseases",9
"4789","Chronic respiratory diseases",9
"4900","Chronic respiratory diseases",9
"4910","Chronic respiratory diseases",9
"4911","Chronic respiratory diseases",9
"4912","Chronic respiratory diseases",9
"4918","Chronic respiratory diseases",9
"4919","Chronic respiratory diseases",9
"4920","Chronic respiratory diseases",9
"4930","Chronic respiratory diseases",9
"4931","Chronic respiratory diseases",9
"4939","Chronic respiratory diseases",9
"4940","Chronic respiratory diseases",9
"4950","Chronic respiratory diseases",9
"4951","Chronic respiratory diseases",9
"4952","Chronic respiratory diseases",9
"4956","Chronic respiratory diseases",9
"4957","Chronic respiratory diseases",9
"4958","Chronic respiratory diseases",9
"4959","Chronic respiratory diseases",9
"4960","Chronic respiratory diseases",9
"5000","Chronic respiratory diseases",9
"5010","Chronic respiratory diseases",9
"5020","Chronic respiratory diseases",9
"5030","Chronic respiratory diseases",9
"5040","Chronic respiratory diseases",9
"5050","Chronic respiratory diseases",9
"5060","Chronic respiratory diseases",9
"5061","Chronic respiratory diseases",9
"5062","Chronic respiratory diseases",9
"5063","Chronic respiratory diseases",9
"5064","Chronic respiratory diseases",9
"5069","Chronic respiratory diseases",9
"5070","Chronic respiratory diseases",9
"5071","Chronic respiratory diseases",9
"5078","Chronic respiratory diseases",9
"5080","Chronic respiratory diseases",9
"5081","Chronic respiratory diseases",9
"5088","Chronic respiratory diseases",9
"5089","Chronic respiratory diseases",9
"5100","Chronic respiratory diseases",9
"5109","Chronic respiratory diseases",9
"5110","Chronic respiratory diseases",9
"5111","Chronic respiratory diseases",9
"5118","Chronic respiratory diseases",9
"5119","Chronic respiratory diseases",9
"5120","Chronic respiratory diseases",9
"5130","Chronic respiratory diseases",9
"5131","Chronic respiratory diseases",9
"5140","Chronic respiratory diseases",9
"5150","Chronic respiratory diseases",9
"5160","Chronic respiratory diseases",9
"5162","Chronic respiratory diseases",9
"5163","Chronic respiratory diseases",9
"5168","Chronic respiratory diseases",9
"5169","Chronic respiratory diseases",9
"5180","Chronic respiratory diseases",9
"5181","Chronic respiratory diseases",9
"5182","Chronic respiratory diseases",9
"5183","Chronic respiratory diseases",9
"5184","Chronic respiratory diseases",9
"5185","Chronic respiratory diseases",9
"5188","Chronic respiratory diseases",9
"5190","Chronic respiratory diseases",9
"5191","Chronic respiratory diseases",9
"5192","Chronic respiratory diseases",9
"5193","Chronic respiratory diseases",9
"5194","Chronic respiratory diseases",9
"5198","Chronic respiratory diseases",9
"5199","Chronic respiratory diseases",9
"J301","Chronic respiratory diseases",10
"J302","Chronic respiratory diseases",10
"J303","Chronic respiratory diseases",10
"J304","Chronic respiratory diseases",10
"J310","Chronic respiratory diseases",10
"J312","Chronic respiratory diseases",10
"J320","Chronic respiratory diseases",10
"J321","Chronic respiratory diseases",10
"J322","Chronic respiratory diseases",10
"J323","Chronic respiratory diseases",10
"J324","Chronic respiratory diseases",10
"J328","Chronic respiratory diseases",10
"J329","Chronic respiratory diseases",10
"J330","Chronic respiratory diseases",10
"J338","Chronic respiratory diseases",10
"J339","Chronic respiratory diseases",10
"J340","Chronic respiratory diseases",10
"J341","Chronic respiratory diseases",10
"J342","Chronic respiratory diseases",10
"J343","Chronic respiratory diseases",10
"J348","Chronic respiratory diseases",10
"J350","Chronic respiratory diseases",10
"J351","Chronic respiratory diseases",10
"J352","Chronic respiratory diseases",10
"J353","Chronic respiratory diseases",10
"J358","Chronic respiratory diseases",10
"J359","Chronic respiratory diseases",10
"J360","Chronic respiratory diseases",10
"J370","Chronic respiratory diseases",10
"J371","Chronic respiratory diseases",10
"J380","Chronic respiratory diseases",10
"J381","Chronic respiratory diseases",10
"J382","Chronic respiratory diseases",10
"J383","Chronic respiratory diseases",10
"J384","Chronic respiratory diseases",10
"J385","Chronic respiratory diseases",10
"J386","Chronic respiratory diseases",10
"J387","Chronic respiratory diseases",10
"J390","Chronic respiratory diseases",10
"J391","Chronic respiratory diseases",10
"J392","Chronic respiratory diseases",10
"J393","Chronic respiratory diseases",10
"J398","Chronic respiratory diseases",10
"J399","Chronic respiratory diseases",10
"J400","Chronic respiratory diseases",10
"J410","Chronic respiratory diseases",10
"J411","Chronic respiratory diseases",10
"J420","Chronic respiratory diseases",10
"J430","Chronic respiratory diseases",10
"J431","Chronic respiratory diseases",10
"J432","Chronic respiratory diseases",10
"J438","Chronic respiratory diseases",10
"J439","Chronic respiratory diseases",10
"J440","Chronic respiratory diseases",10
"J441","Chronic respiratory diseases",10
"J448","Chronic respiratory diseases",10
"J449","Chronic respiratory diseases",10
"J450","Chronic respiratory diseases",10
"J451","Chronic respiratory diseases",10
"J458","Chronic respiratory diseases",10
"J459","Chronic respiratory diseases",10
"J460","Chronic respiratory diseases",10
"J470","Chronic respiratory diseases",10
"J600","Chronic respiratory diseases",10
"J610","Chronic respiratory diseases",10
"J620","Chronic respiratory diseases",10
"J628","Chronic respiratory diseases",10
"J630","Chronic respiratory diseases",10
"J631","Chronic respiratory diseases",10
"J632","Chronic respiratory diseases",10
"J633","Chronic respiratory diseases",10
"J634","Chronic respiratory diseases",10
"J638","Chronic respiratory diseases",10
"J640","Chronic respiratory diseases",10
"J650","Chronic respiratory diseases",10
"J660","Chronic respiratory diseases",10
"J661","Chronic respiratory diseases",10
"J668","Chronic respiratory diseases",10
"J670","Chronic respiratory diseases",10
"J671","Chronic respiratory diseases",10
"J672","Chronic respiratory diseases",10
"J677","Chronic respiratory diseases",10
"J678","Chronic respiratory diseases",10
"J679","Chronic respiratory diseases",10
"J680","Chronic respiratory diseases",10
"J681","Chronic respiratory diseases",10
"J682","Chronic respiratory diseases",10
"J683","Chronic respiratory diseases",10
"J684","Chronic respiratory diseases",10
"J688","Chronic respiratory diseases",10
"J689","Chronic respiratory diseases",10
"J690","Chronic respiratory diseases",10
"J691","Chronic respiratory diseases",10
"J698","Chronic respiratory diseases",10
"J700","Chronic respiratory diseases",10
"J701","Chronic respiratory diseases",10
"J703","Chronic respiratory diseases",10
"J704","Chronic respiratory diseases",10
"J708","Chronic respiratory diseases",10
"J709","Chronic respiratory diseases",10
"J800","Chronic respiratory diseases",10
"J810","Chronic respiratory diseases",10
"J820","Chronic respiratory diseases",10
"J840","Chronic respiratory diseases",10
"J841","Chronic respiratory diseases",10
"J848","Chronic respiratory diseases",10
"J849","Chronic respiratory diseases",10
"J850","Chronic respiratory diseases",10
"J851","Chronic respiratory diseases",10
"J852","Chronic respiratory diseases",10
"J853","Chronic respiratory diseases",10
"J860","Chronic respiratory diseases",10
"J869","Chronic respiratory diseases",10
"J900","Chronic respiratory diseases",10
"J920","Chronic respiratory diseases",10
"J929","Chronic respiratory diseases",10
"J930","Chronic respiratory diseases",10
"J931","Chronic respiratory diseases",10
"J938","Chronic respiratory diseases",10
"J939","Chronic respiratory diseases",10
"J940","Chronic respiratory diseases",10
"J941","Chronic respiratory diseases",10
"J942","Chronic respiratory diseases",10
"J948","Chronic respiratory diseases",10
"J949","Chronic respiratory diseases",10
"J960","Chronic respiratory diseases",10
"J961","Chronic respiratory diseases",10
"J969","Chronic respiratory diseases",10
"J980","Chronic respiratory diseases",10
"J981","Chronic respiratory diseases",10
"J982","Chronic respiratory diseases",10
"J983","Chronic respiratory diseases",10
"J984","Chronic respiratory diseases",10
"J985","Chronic respiratory diseases",10
"J986","Chronic respiratory diseases",10
"J988","Chronic respiratory diseases",10
"J989","Chronic respiratory diseases",10
"2400","Endocrine disorders",9
"2409","Endocrine disorders",9
"2410","Endocrine disorders",9
"2411","Endocrine disorders",9
"2419","Endocrine disorders",9
