"cause","cause.sub","icd"
"8760","Other external causes of injury",9
"8761","Other external causes of injury",9
"8762","Other external causes of injury",9
"8763","Other external causes of injury",9
"8764","Other external causes of injury",9
"8765","Other external causes of injury",9
"8768","Other external causes of injury",9
"8769","Other external causes of injury",9
"8780","Other external causes of injury",9
"8781","Other external causes of injury",9
"8782","Other external causes of injury",9
"8783","Other external causes of injury",9
"8784","Other external causes of injury",9
"8785","Other external causes of injury",9
"8786","Other external causes of injury",9
"8788","Other external causes of injury",9
"8789","Other external causes of injury",9
"8790","Other external causes of injury",9
"8791","Other external causes of injury",9
"8792","Other external causes of injury",9
"8793","Other external causes of injury",9
"8794","Other external causes of injury",9
"8795","Other external causes of injury",9
"8796","Other external causes of injury",9
"8797","Other external causes of injury",9
"8798","Other external causes of injury",9
"8799","Other external causes of injury",9
"8900","Other external causes of injury",9
"8901","Other external causes of injury",9
"8902","Other external causes of injury",9
"8903","Other external causes of injury",9
"8908","Other external causes of injury",9
"8909","Other external causes of injury",9
"8910","Other external causes of injury",9
"8911","Other external causes of injury",9
"8912","Other external causes of injury",9
"8913","Other external causes of injury",9
"8918","Other external causes of injury",9
"8919","Other external causes of injury",9
"8920","Other external causes of injury",9
"8930","Other external causes of injury",9
"8931","Other external causes of injury",9
"8932","Other external causes of injury",9
"8938","Other external causes of injury",9
"8939","Other external causes of injury",9
"8940","Other external causes of injury",9
"8950","Other external causes of injury",9
"8960","Other external causes of injury",9
"8970","Other external causes of injury",9
"8980","Other external causes of injury",9
"8981","Other external causes of injury",9
"8990","Other external causes of injury",9
"9020","Other external causes of injury",9
"9021","Other external causes of injury",9
"9022","Other external causes of injury",9
"9028","Other external causes of injury",9
"9029","Other external causes of injury",9
"9030","Other external causes of injury",9
"9040","Other external causes of injury",9
"9041","Other external causes of injury",9
"9042","Other external causes of injury",9
"9043","Other external causes of injury",9
"9049","Other external causes of injury",9
"9050","Other external causes of injury",9
"9051","Other external causes of injury",9
"9052","Other external causes of injury",9
"9053","Other external causes of injury",9
"9054","Other external causes of injury",9
"9055","Other external causes of injury",9
"9056","Other external causes of injury",9
"9057","Other external causes of injury",9
"9058","Other external causes of injury",9
"9059","Other external causes of injury",9
"9060","Other external causes of injury",9
"9061","Other external causes of injury",9
"9062","Other external causes of injury",9
"9063","Other external causes of injury",9
"9064","Other external causes of injury",9
"9068","Other external causes of injury",9
"9069","Other external causes of injury",9
"9070","Other external causes of injury",9
"9080","Other external causes of injury",9
"9090","Other external causes of injury",9
"9110","Other external causes of injury",9
"9120","Other external causes of injury",9
"9130","Other external causes of injury",9
"9131","Other external causes of injury",9
"9132","Other external causes of injury",9
"9133","Other external causes of injury",9
"9138","Other external causes of injury",9
"9139","Other external causes of injury",9
"9140","Other external causes of injury",9
"9150","Other external causes of injury",9
"9160","Other external causes of injury",9
"9170","Other external causes of injury",9
"9171","Other external causes of injury",9
"9172","Other external causes of injury",9
"9179","Other external causes of injury",9
"9180","Other external causes of injury",9
"9190","Other external causes of injury",9
"9191","Other external causes of injury",9
"9192","Other external causes of injury",9
"9193","Other external causes of injury",9
"9194","Other external causes of injury",9
"9195","Other external causes of injury",9
"9196","Other external causes of injury",9
"9197","Other external causes of injury",9
"9198","Other external causes of injury",9
"9199","Other external causes of injury",9
"9200","Other external causes of injury",9
"9201","Other external causes of injury",9
"9202","Other external causes of injury",9
"9203","Other external causes of injury",9
"9204","Other external causes of injury",9
"9208","Other external causes of injury",9
"9209","Other external causes of injury",9
"9210","Other external causes of injury",9
"9211","Other external causes of injury",9
"9218","Other external causes of injury",9
"9219","Other external causes of injury",9
"9220","Other external causes of injury",9
"9221","Other external causes of injury",9
"9222","Other external causes of injury",9
"9223","Other external causes of injury",9
"9228","Other external causes of injury",9
"9229","Other external causes of injury",9
"9230","Other external causes of injury",9
"9231","Other external causes of injury",9
"9232","Other external causes of injury",9
"9238","Other external causes of injury",9
"9239","Other external causes of injury",9
"9240","Other external causes of injury",9
"9241","Other external causes of injury",9
"9248","Other external causes of injury",9
"9249","Other external causes of injury",9
"9250","Other external causes of injury",9
"9251","Other external causes of injury",9
"9252","Other external causes of injury",9
"9258","Other external causes of injury",9
"9259","Other external causes of injury",9
"9262","Other external causes of injury",9
"9268","Other external causes of injury",9
"9269","Other external causes of injury",9
"9270","Other external causes of injury",9
"9280","Other external causes of injury",9
"9281","Other external causes of injury",9
"9282","Other external causes of injury",9
"9288","Other external causes of injury",9
"9289","Other external causes of injury",9
"9290","Other external causes of injury",9
"9291","Other external causes of injury",9
"9292","Other external causes of injury",9
"9293","Other external causes of injury",9
"9294","Other external causes of injury",9
"9295","Other external causes of injury",9
"9298","Other external causes of injury",9
"9299","Other external causes of injury",9
"9300","Other external causes of injury",9
"9301","Other external causes of injury",9
"9302","Other external causes of injury",9
"9303","Other external causes of injury",9
"9304","Other external causes of injury",9
"9305","Other external causes of injury",9
"9306","Other external causes of injury",9
"9307","Other external causes of injury",9
"9308","Other external causes of injury",9
"9309","Other external causes of injury",9
"9310","Other external causes of injury",9
"9312","Other external causes of injury",9
"9314","Other external causes of injury",9
"9317","Other external causes of injury",9
"9318","Other external causes of injury",9
"9319","Other external causes of injury",9
"9320","Other external causes of injury",9
"9321","Other external causes of injury",9
"9322","Other external causes of injury",9
"9323","Other external causes of injury",9
"9324","Other external causes of injury",9
"9327","Other external causes of injury",9
"9328","Other external causes of injury",9
"9329","Other external causes of injury",9
"9330","Other external causes of injury",9
"9331","Other external causes of injury",9
"9332","Other external causes of injury",9
"9334","Other external causes of injury",9
"9340","Other external causes of injury",9
"9341","Other external causes of injury",9
"9342","Other external causes of injury",9
"9343","Other external causes of injury",9
"9344","Other external causes of injury",9
