"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"92",2,334.825251913426,327.827012936992,341.972884767845,1.01083516240664,12,306.935038651569,299.786917816304,314.253599317391,1.0120951001826,1.09086682766615,439,668.692542473616,657.722891370415,679.845147898317,1.00847482802441,444,572.488775379862,561.248936932245,583.953708184039,1.01016797052104,1.16804480931512,0.0771779816489631,0.208589139591792,2.08589139591792,8.53419331661187e-10,45,1,"Intentional"
"102",3,117.211424335917,113.007166163848,121.57209548052,1.0188115426011,12,98.2041431287196,94.2393565051467,102.335734084935,1.02124837114414,1.1935486691461,438,222.341781828753,216.040297285038,228.827068690618,1.0147768920403,444,196.388841261789,189.787823528493,203.219449251747,1.01759683161492,1.1321507902395,-0.0613978789066094,-0.165940213261107,-1.65940213261107,0.000265407050477629,45,2,"Intentional"
"135",4,298.334254458076,291.502768965009,305.325838581449,1.01188900285765,11,279.745525015526,273.139777425153,286.511029275686,1.01226681200893,1.0664487106327,437,534.886026094633,524.598056853125,545.375754206064,1.00995809463976,444,457.495616580956,446.978775832516,468.259905184435,1.01193607687174,1.16916098582987,0.102712275197165,0.277600743776123,2.77600743776123,1.71710172382079e-06,55,1,"Intentional"
"127",4,97.9971453485782,94.0947596647686,102.061374413246,1.02094906395321,11,87.1268773698249,83.5152128152363,90.8947304847388,1.02183528788497,1.12476365855065,438,169.571677406039,163.861413801579,175.480933010359,1.01763049187471,444,150.828853768497,144.787889924482,157.12186385881,1.02107405390096,1.12426550470449,-0.00049815384616636,-0.00134636174639557,-0.0134636174639557,0.0408616438191912,55,2,"Intentional"
"180",6,250.106960405118,243.767427593458,256.611362152167,1.01318517953481,12,211.795815834811,205.370973665354,218.42165328693,1.01584084362105,1.18088716445743,438,310.341928206065,302.603771816738,318.277964033399,1.01296620788993,444,263.200879888721,255.375358681783,271.266200199521,1.01551871688729,1.17910672767232,-0.0017804367851062,-0.00481199131109783,-0.0481199131109783,0.0806793719772478,65,1,"Intentional"
"143",5,77.0941471182086,73.5029916727483,80.8607566117284,1.02463594686997,1,66.2902793738351,62.6590223299205,70.1319774241471,1.02915970301183,1.16297815979092,440,78.0387870587135,74.2486536922769,82.0223934407675,1.02572654673552,444,68.0182364962105,64.1826621824165,72.0830258318873,1.03005648645259,1.14732152844129,-0.0156566313496262,-0.0423152198638547,-0.423152198638547,0.452663378344253,65,2,"Intentional"
"171",6,162.985037161515,157.976969504873,168.15186683095,1.01605047774943,12,133.105963370337,128.229601598306,138.167765195486,1.01922486519924,1.22447584642054,439,186.468960827022,180.918464684899,192.189743664189,1.0155369819384,444,159.938214974708,154.276075563067,165.808162516027,1.01855987149534,1.16588121767214,-0.0585946287483996,-0.158363861482161,-1.58363861482161,0.0237033872129508,75,1,"Intentional"
"169",6,47.391534784572,44.6211857135965,50.3338836321629,1.03120917618847,12,40.5280535441835,37.7190714127039,43.5462237685681,1.03732702058334,1.1693513662803,441,37.4956089792714,35.1476602681126,40.0004063428918,1.03354304096501,444,29.7811482304587,27.5879473115611,32.1487053715258,1.03980050898304,1.25903839197586,0.0896870256955609,0.242397366744759,2.42397366744759,0.0297338679637276,75,2,"Intentional"
"220",8,47.1902880128936,44.5729642696323,49.96130096416,1.02954047221631,12,37.5482298913118,35.1178676251661,40.1467874706738,1.03473040208723,1.25679128282457,438,93.983215235967,89.7428228092796,98.42396828615,1.02383479268621,444,82.4277407002174,77.9634455231678,87.1476676197341,1.02881655726146,1.14018914551808,-0.116602137306485,-0.315140911639148,-3.15140911639149,0.323095767056482,85,1,"Intentional"
"214",8,14.9014784690279,13.4458051136587,16.5147463231735,1.05384517122507,12,11.9589042141431,10.5779579878026,13.5201321623664,1.06460510825268,1.2460571806742,440,17.821767608371,16.1668298550076,19.6461151342175,1.05098096744709,444,14.7293955400769,13.1047641780061,16.5554366357967,1.06144078924156,1.20994561928085,-0.0361115613933443,-0.0975988145766061,-0.975988145766061,0.907657354614035,85,2,"Intentional"
