"","start.year.month.max","start.pred.max","start.pred.max.ll","start.pred.max.ul","start.se.max","start.year.month.min","start.pred.min","start.pred.min.ll","start.pred.min.ul","start.se.min","start.seas.index","end.year.month.max","end.pred.max","end.pred.max.ll","end.pred.max.ul","end.se.max","end.year.month.min","end.pred.min","end.pred.min.ll","end.pred.min.ul","end.se.min","end.seas.index","diff","per.year.perc","per.decade.perc","p-value","age","sex","cause"
"18",1,6891.15517327055,6854.14391251222,6928.36628880877,1.00275138541607,9,6211.34240763139,6180.15748063766,6242.68469302168,1.00257130414468,1.10944699567744,433,8992.63808291165,8949.18116659907,9036.30602451697,1.00247459425419,442,8331.59363925336,8294.42374485276,8368.93010351973,1.00228387963362,1.0793418969144,-0.0301050987630462,-0.0813651317920168,-0.813651317920169,1.4981959739942e-07,45,1,"AllCause"
"10",1,3957.30205061922,3929.7279798928,3985.06960277243,1.00357386370533,9,3551.8021021048,3528.51215936542,3575.24577009955,1.00336217599896,1.11416738231956,433,5877.22813560299,5841.36216586714,5913.31432243009,1.00312795740784,439,5286.92781441447,5257.30387819669,5316.71867604066,1.00287094957708,1.11165280516581,-0.00251457715375292,-0.00679615446960248,-0.0679615446960248,2.70040634702919e-05,45,2,"AllCause"
"19",1,16675.1052608673,16613.6245377779,16736.813500794,1.00188636381864,9,14663.7344958083,14613.0637295987,14714.5809627878,1.00176763179098,1.13716633819535,433,18070.4741792321,18006.0245708829,18135.1544743717,1.00182459378479,441,16177.2866202128,16124.2642360217,16230.4833610866,1.00167638575202,1.11702750921492,-0.0201388289804345,-0.0544292675146879,-0.544292675146879,3.07070814956072e-06,55,1,"AllCause"
"9",1,10253.1947032672,10205.6775294874,10300.9331148628,1.00237278480156,9,9063.40784231806,9023.96121421729,9103.02690427926,1.00222788325154,1.13127367560289,433,12243.4399812812,12189.557853247,12297.5602872508,1.00225284520461,440,10804.0554996422,10759.8831138034,10848.4092257103,1.00209243160909,1.13322631318274,0.00195263757984643,0.00527739886444981,0.0527739886444981,1.72562860873006e-08,55,2,"AllCause"
"17",1,26594.8628415192,26518.0945958378,26671.8533265294,1.00147596365371,8,22621.0242422478,22559.037680873,22683.1811271021,1.00140097039993,1.17567014458389,433,25922.9361424205,25845.1397772769,26000.9666821316,1.00153463310319,440,22642.6003919278,22578.0456721799,22707.3396853054,1.00145774583745,1.14487451501649,-0.0307956295674059,-0.0832314312632592,-0.832314312632592,1.19893448162216e-24,65,1,"AllCause"
"4",1,18485.7559886312,18423.3344615746,18548.3890109005,1.00172723002078,8,15860.7902587041,15809.8229644556,15911.9218599843,1.00164348611555,1.16550031159302,434,20664.0347205621,20600.7366568955,20727.5272745972,1.00156648118066,440,17909.991518011,17851.6850381716,17968.4884362087,1.00166507797848,1.15377132924834,-0.0117289823446813,-0.0316999522829225,-0.316999522829225,1.35360038050214e-10,65,2,"AllCause"
"6",1,25103.6914477601,25033.8480216719,25173.7297341894,1.00142247757162,8,20193.9728171139,20138.8024286329,20249.2943452555,1.00139677116087,1.24312792114315,433,30836.286782649,30754.0000214435,30918.7937139483,1.00136423125756,440,25655.405706452,25589.146193253,25721.8367893883,1.00132026539933,1.20194110884374,-0.0411868122994092,-0.111315708917322,-1.11315708917322,8.35822831038893e-73,75,1,"AllCause"
"7",1,25405.2400110603,25335.8547652816,25474.8152765711,1.00139631860027,8,20381.693160578,20326.8703758077,20436.6638056767,1.00137514324139,1.24647348043679,433,30552.4747114682,30471.6918742319,30633.471710321,1.00135171389801,440,25200.7302043432,25135.7766209707,25265.8516348469,1.00131758960821,1.21236466021935,-0.0341088202174371,-0.0921860005876679,-0.921860005876679,1.08577020852504e-76,75,2,"AllCause"
"16",1,13410.6791785339,13362.2055424392,13459.3286608532,1.0018492093074,8,9920.73119553687,9883.87610136031,9957.72371535018,1.00190071991571,1.35178334280109,433,30750.375907929,30658.8415274568,30842.1835714866,1.00152214227857,440,24502.5644494782,24432.2702024095,24573.0609405925,1.00146687874424,1.25498602284398,-0.0967973199571099,-0.261614378262459,-2.61614378262459,5.61454844557102e-187,85,1,"AllCause"
"5",1,23603.8695671147,23542.4667904362,23665.4324927283,1.00132985057004,7,17584.3088411415,17537.3649310118,17631.3784104399,1.00136481704249,1.3423256939101,433,51809.3840180321,51695.1457880258,51923.8746967548,1.00112686214462,439,40618.051519357,40530.7359120729,40705.5552311772,1.00109855644269,1.27552607966292,-0.0667996142471738,-0.180539497965335,-1.80539497965335,0,85,2,"AllCause"
