"","monthdth","age","fips","sex","year","deaths"
"352",12,15,"NA041",1,2006,1
"353",12,15,"NA021",1,2006,4
"354",12,15,"NA013",1,2006,1
"355",12,10,"NA021",2,2006,1
"356",12,10,"NA013",2,2006,1
"357",12,45,"NA063",2,2006,2
"358",12,0,"NA061",1,2006,1
"359",12,0,"NA051",1,2006,3
"360",12,0,"NA037",1,2006,1
"361",12,0,"NA035",1,2006,2
"362",12,0,"NA033",1,2006,2
"363",12,0,"NA031",1,2006,5
"364",12,0,"NA029",1,2006,1
"365",12,0,"NA027",1,2006,1
"366",12,0,"NA025",1,2006,2
"367",12,0,"NA021",1,2006,1
"368",12,0,"NA013",1,2006,1
"369",12,0,"NA005",1,2006,1
"370",12,60,"NA007",1,2006,1
"371",12,30,"NA061",1,2006,2
"372",12,30,"NA000",1,2006,2
"373",11,85,"NA065",1,2006,7
"374",11,85,"NA063",2,2006,8
"375",11,85,"NA063",1,2006,1
"376",11,85,"NA061",1,2006,10
"377",11,85,"NA059",1,2006,7
"378",11,85,"NA057",1,2006,3
"379",11,85,"NA053",1,2006,6
"380",11,85,"NA047",1,2006,8
"381",11,85,"NA043",1,2006,12
"382",11,85,"NA039",1,2006,1
"383",11,85,"NA033",2,2006,2
"384",11,85,"NA031",1,2006,37
"385",11,85,"NA029",2,2006,5
"386",11,85,"NA029",1,2006,3
"387",11,85,"NA027",1,2006,3
"388",11,85,"NA023",1,2006,6
"389",11,85,"NA019",2,2006,4
"390",11,85,"NA010",2,2006,5
"391",11,85,"NA010",1,2006,3
"392",11,85,"NA001",1,2006,6
"393",11,80,"NA065",2,2006,7
"394",11,80,"NA063",2,2006,2
"395",11,80,"NA061",2,2006,7
"396",11,80,"NA059",2,2006,3
"397",11,80,"NA057",2,2006,7
"398",11,80,"NA053",2,2006,7
"399",11,80,"NA051",2,2006,4
"400",11,80,"NA045",2,2006,5
"401",11,80,"NA041",2,2006,3
"402",11,80,"NA033",2,2006,1
"403",11,80,"NA029",2,2006,5
"404",11,80,"NA027",2,2006,3
"405",11,80,"NA019",2,2006,2
"406",11,80,"NA013",2,2006,12
"407",11,80,"NA010",2,2006,1
"408",11,80,"NA007",2,2006,1
"409",11,80,"NA003",2,2006,9
"410",11,80,"NA001",2,2006,4
"411",11,80,"NA000",2,2006,2
"412",11,75,"NA065",2,2006,5
"413",11,75,"NA065",1,2006,3
"414",11,75,"NA063",2,2006,1
"415",11,75,"NA063",1,2006,1
"416",11,75,"NA061",2,2006,7
"417",11,75,"NA061",1,2006,4
"418",11,75,"NA059",2,2006,2
"419",11,75,"NA059",1,2006,4
"420",11,75,"NA057",2,2006,1
"421",11,75,"NA057",1,2006,4
"422",11,75,"NA055",2,2006,1
"423",11,75,"NA055",1,2006,2
"424",11,75,"NA054",2,2006,2
"425",11,75,"NA053",2,2006,5
"426",11,75,"NA053",1,2006,6
"427",11,75,"NA051",2,2006,4
"428",11,75,"NA051",1,2006,2
"429",11,75,"NA049",1,2006,1
"430",11,75,"NA047",2,2006,6
"431",11,75,"NA047",1,2006,3
"432",11,75,"NA045",2,2006,2
"433",11,75,"NA045",1,2006,1
"434",11,75,"NA043",1,2006,2
"435",11,75,"NA041",2,2006,2
"436",11,75,"NA041",1,2006,4
"437",11,75,"NA039",2,2006,3
"438",11,75,"NA039",1,2006,3
"439",11,75,"NA037",2,2006,3
"440",11,75,"NA037",1,2006,3
"441",11,75,"NA035",2,2006,3
"442",11,75,"NA035",1,2006,2
"443",11,75,"NA033",2,2006,1
"444",11,75,"NA033",1,2006,4
"445",11,75,"NA031",2,2006,11
"446",11,75,"NA031",1,2006,19
"447",11,75,"NA029",2,2006,4
"448",11,75,"NA029",1,2006,6
"449",11,75,"NA027",2,2006,1
"450",11,75,"NA027",1,2006,2
"451",11,75,"NA025",2,2006,7
"452",11,75,"NA025",1,2006,14
"453",11,75,"NA023",2,2006,3
"454",11,75,"NA023",1,2006,2
"455",11,75,"NA021",2,2006,7
"456",11,75,"NA021",1,2006,22
"457",11,75,"NA019",2,2006,1
"458",11,75,"NA019",1,2006,1
"459",11,75,"NA017",2,2006,1
"460",11,75,"NA017",1,2006,2
"461",11,75,"NA015",2,2006,1
"462",11,75,"NA015",1,2006,3
"463",11,75,"NA013",2,2006,10
"464",11,75,"NA013",1,2006,6
"465",11,75,"NA011",2,2006,4
"466",11,75,"NA011",1,2006,4
"467",11,75,"NA010",2,2006,7
"468",11,75,"NA010",1,2006,4
"469",11,75,"NA009",2,2006,4
"470",11,75,"NA009",1,2006,3
"471",11,75,"NA007",1,2006,2
"472",11,75,"NA005",2,2006,4
"473",11,75,"NA005",1,2006,7
"474",11,75,"NA003",2,2006,1
"475",11,75,"NA003",1,2006,2
"476",11,75,"NA001",2,2006,4
"477",11,75,"NA001",1,2006,1
"478",11,75,"NA000",2,2006,1
"479",11,75,"NA000",1,2006,1
"480",12,50,"NA065",1,2006,5
"481",12,50,"NA063",1,2006,2
"482",12,50,"NA061",1,2006,5
"483",12,50,"NA057",1,2006,1
"484",12,50,"NA055",1,2006,2
"485",12,50,"NA053",1,2006,3
"486",12,50,"NA051",1,2006,2
"487",12,50,"NA047",1,2006,2
"488",12,50,"NA045",1,2006,1
"489",12,50,"NA037",1,2006,1
"490",12,50,"NA031",1,2006,11
"491",12,50,"NA030",1,2006,1
"492",12,50,"NA029",1,2006,3
"493",12,50,"NA027",1,2006,1
"494",12,50,"NA021",1,2006,4
"495",12,50,"NA015",1,2006,2
"496",12,50,"NA013",1,2006,3
"497",12,50,"NA009",1,2006,1
"498",12,50,"NA003",1,2006,3
"499",12,50,"NA001",1,2006,1
"500",12,50,"NA000",1,2006,4
"501",11,70,"NA065",1,2006,6
"502",11,70,"NA063",2,2006,5
"503",11,70,"NA061",1,2006,10
"504",11,70,"NA059",2,2006,2
"505",11,70,"NA059",1,2006,1
"506",11,70,"NA057",1,2006,2
"507",11,70,"NA051",1,2006,2
"508",11,70,"NA045",1,2006,1
"509",11,70,"NA039",1,2006,2
"510",11,70,"NA037",1,2006,3
"511",11,70,"NA035",2,2006,7
"512",11,70,"NA035",1,2006,2
"513",11,70,"NA033",1,2006,4
"514",11,70,"NA031",2,2006,16
"515",11,70,"NA031",1,2006,15
"516",11,70,"NA030",1,2006,1
"517",11,70,"NA029",2,2006,1
"518",11,70,"NA029",1,2006,3
"519",11,70,"NA027",1,2006,2
"520",11,70,"NA025",1,2006,12
"521",11,70,"NA021",1,2006,21
"522",11,70,"NA019",1,2006,2
"523",11,70,"NA011",2,2006,3
"524",11,70,"NA011",1,2006,1
"525",11,70,"NA010",2,2006,4
"526",11,70,"NA010",1,2006,4
"527",11,70,"NA007",1,2006,2
"528",11,70,"NA005",1,2006,5
"529",11,70,"NA003",2,2006,4
"530",11,70,"NA003",1,2006,3
"531",11,70,"NA000",2,2006,1
"532",11,70,"NA000",1,2006,1
"533",11,65,"NA065",2,2006,3
"534",11,65,"NA061",2,2006,3
"535",11,65,"NA055",2,2006,1
"536",11,65,"NA053",2,2006,4
"537",11,65,"NA051",2,2006,5
"538",11,65,"NA047",2,2006,2
"539",11,65,"NA041",1,2006,3
"540",11,65,"NA039",2,2006,2
"541",11,65,"NA037",2,2006,1
"542",11,65,"NA037",1,2006,4
"543",11,65,"NA035",2,2006,5
"544",11,65,"NA033",2,2006,1
"545",11,65,"NA031",2,2006,15
"546",11,65,"NA029",2,2006,2
"547",11,65,"NA027",1,2006,2
"548",11,65,"NA025",2,2006,6
"549",11,65,"NA023",2,2006,1
"550",11,65,"NA021",2,2006,12
"551",11,65,"NA019",2,2006,2
"552",11,65,"NA017",2,2006,1
"553",11,65,"NA015",2,2006,1
"554",11,65,"NA013",2,2006,10
"555",11,65,"NA011",2,2006,2
"556",11,65,"NA010",2,2006,5
"557",11,65,"NA010",1,2006,2
"558",11,65,"NA009",2,2006,3
"559",11,65,"NA007",1,2006,1
"560",11,65,"NA005",2,2006,3
"561",11,65,"NA003",2,2006,4
"562",11,65,"NA001",2,2006,4
"563",11,65,"NA000",2,2006,2
"564",12,55,"NA051",2,2006,1
"565",12,55,"NA035",2,2006,2
"566",12,55,"NA015",2,2006,1
"567",11,60,"NA065",2,2006,3
"568",11,60,"NA063",2,2006,1
"569",11,60,"NA061",2,2006,1
"570",11,60,"NA061",1,2006,3
"571",11,60,"NA059",2,2006,2
"572",11,60,"NA057",2,2006,2
"573",11,60,"NA055",2,2006,2
"574",11,60,"NA054",2,2006,1
"575",11,60,"NA053",2,2006,2
"576",11,60,"NA051",2,2006,3
"577",11,60,"NA047",2,2006,1
"578",11,60,"NA047",1,2006,2
"579",11,60,"NA043",2,2006,2
"580",11,60,"NA043",1,2006,1
"581",11,60,"NA041",2,2006,1
"582",11,60,"NA039",2,2006,1
"583",11,60,"NA039",1,2006,4
"584",11,60,"NA030",2,2006,1
"585",11,60,"NA029",2,2006,1
"586",11,60,"NA025",2,2006,7
"587",11,60,"NA025",1,2006,14
"588",11,60,"NA023",2,2006,5
"589",11,60,"NA021",2,2006,8
"590",11,60,"NA019",2,2006,2
"591",11,60,"NA010",2,2006,2
"592",11,60,"NA009",2,2006,1
"593",11,60,"NA009",1,2006,4
"594",11,60,"NA003",2,2006,3
"595",11,60,"NA001",2,2006,1
"596",11,55,"NA065",2,2006,1
"597",11,55,"NA065",1,2006,2
"598",11,55,"NA063",1,2006,4
"599",11,55,"NA061",2,2006,3
"600",11,55,"NA061",1,2006,5
"601",11,55,"NA059",1,2006,1
"602",11,55,"NA057",1,2006,6
"603",11,55,"NA055",1,2006,1
"604",11,55,"NA054",2,2006,1
"605",11,55,"NA053",1,2006,5
"606",11,55,"NA051",1,2006,3
"607",11,55,"NA045",1,2006,1
"608",11,55,"NA041",2,2006,5
"609",11,55,"NA039",2,2006,1
"610",11,55,"NA039",1,2006,1
"611",11,55,"NA037",2,2006,1
"612",11,55,"NA035",1,2006,4
"613",11,55,"NA033",2,2006,3
"614",11,55,"NA031",2,2006,4
"615",11,55,"NA031",1,2006,10
"616",11,55,"NA029",1,2006,2
"617",11,55,"NA027",1,2006,1
"618",11,55,"NA025",2,2006,5
"619",11,55,"NA025",1,2006,6
"620",11,55,"NA023",1,2006,2
"621",11,55,"NA021",2,2006,6
"622",11,55,"NA021",1,2006,12
"623",11,55,"NA020",1,2006,1
"624",11,55,"NA017",1,2006,3
"625",11,55,"NA015",1,2006,2
"626",11,55,"NA013",1,2006,6
"627",11,55,"NA010",2,2006,3
"628",11,55,"NA010",1,2006,3
"629",11,55,"NA009",1,2006,6
"630",11,55,"NA007",1,2006,2
"631",11,55,"NA005",2,2006,1
"632",11,55,"NA005",1,2006,3
"633",11,55,"NA003",2,2006,1
"634",11,55,"NA003",1,2006,5
"635",11,55,"NA001",1,2006,1
"636",11,55,"NA000",1,2006,2
"637",11,50,"NA061",1,2006,1
"638",11,50,"NA045",1,2006,1
"639",11,50,"NA043",1,2006,2
"640",11,50,"NA041",1,2006,3
"641",11,50,"NA021",1,2006,10
"642",11,45,"NA065",2,2006,1
"643",11,45,"NA065",1,2006,2
"644",11,45,"NA063",2,2006,1
"645",11,45,"NA059",2,2006,1
"646",11,45,"NA059",1,2006,1
"647",11,45,"NA057",2,2006,1
"648",11,45,"NA054",1,2006,1
"649",11,45,"NA053",2,2006,1
"650",11,45,"NA051",2,2006,2
"651",11,45,"NA043",2,2006,1
"652",11,45,"NA039",2,2006,2
"653",11,45,"NA035",2,2006,3
"654",11,45,"NA031",2,2006,5
"655",11,45,"NA030",1,2006,1
"656",11,45,"NA027",2,2006,1
"657",11,45,"NA023",2,2006,1
"658",11,45,"NA020",2,2006,1
"659",11,45,"NA013",2,2006,1
"660",11,45,"NA010",2,2006,3
"661",11,45,"NA009",2,2006,1
"662",11,45,"NA005",1,2006,2
"663",11,45,"NA000",2,2006,2
"664",11,45,"NA000",1,2006,1
"665",11,40,"NA063",1,2006,1
"666",11,40,"NA061",2,2006,1
"667",11,40,"NA057",2,2006,1
"668",11,40,"NA055",2,2006,1
"669",11,40,"NA055",1,2006,1
"670",11,40,"NA053",2,2006,1
"671",11,40,"NA053",1,2006,4
"672",11,40,"NA047",2,2006,1
"673",11,40,"NA041",2,2006,1
"674",11,40,"NA035",2,2006,1
"675",11,40,"NA035",1,2006,1
"676",11,40,"NA031",1,2006,7
"677",11,40,"NA029",2,2006,2
"678",11,40,"NA029",1,2006,1
"679",11,40,"NA027",1,2006,2
"680",11,40,"NA025",2,2006,4
"681",11,40,"NA025",1,2006,3
"682",11,40,"NA021",2,2006,1
"683",11,40,"NA013",2,2006,1
"684",11,40,"NA013",1,2006,4
"685",11,40,"NA010",2,2006,1
"686",11,40,"NA010",1,2006,1
"687",11,40,"NA005",1,2006,2
"688",11,40,"NA003",2,2006,1
"689",11,40,"NA000",2,2006,1
"690",11,40,"NA000",1,2006,3
"691",11,60,"NA021",1,2006,13
"692",11,60,"NA057",1,2006,2
"693",11,60,"NA053",1,2006,2
"694",11,60,"NA005",1,2006,3
"695",11,35,"NA063",1,2006,1
"696",11,35,"NA061",1,2006,1
"697",11,35,"NA057",2,2006,1
"698",11,35,"NA057",1,2006,1
"699",11,35,"NA051",1,2006,1
"700",11,35,"NA043",2,2006,1
"701",11,35,"NA035",2,2006,1
"702",11,35,"NA033",1,2006,2
"703",11,35,"NA031",2,2006,1
"704",11,35,"NA030",1,2006,1
"705",11,35,"NA029",1,2006,1
"706",11,35,"NA027",1,2006,1
"707",11,35,"NA025",2,2006,1
"708",11,35,"NA021",1,2006,3
"709",11,35,"NA019",1,2006,1
"710",11,35,"NA017",2,2006,1
"711",11,35,"NA011",2,2006,1
"712",11,35,"NA010",1,2006,2
"713",11,35,"NA009",2,2006,2
"714",11,35,"NA005",2,2006,1
"715",11,30,"NA063",1,2006,1
"716",11,30,"NA061",1,2006,7
"717",11,30,"NA057",1,2006,1
"718",11,30,"NA053",1,2006,1
"719",11,30,"NA033",1,2006,1
"720",11,30,"NA031",1,2006,2
"721",11,30,"NA030",1,2006,1
"722",11,30,"NA029",1,2006,2
"723",11,30,"NA025",1,2006,3
"724",11,30,"NA023",1,2006,2
"725",11,30,"NA021",1,2006,5
"726",11,30,"NA015",1,2006,1
"727",11,30,"NA013",1,2006,2
"728",11,30,"NA009",1,2006,1
"729",11,30,"NA007",1,2006,1
"730",11,30,"NA005",1,2006,2
"731",11,30,"NA003",1,2006,2
"732",11,30,"NA000",1,2006,1
"733",12,85,"NA017",1,2006,9
